"The Hunger Games;The Hunger Games;Suzanne Collins;Winning means fame and fortune.Losing means certain death.The Hunger Games have begun. . . .In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and once girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV.Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sisters place in the Games. But Katniss has been close to dead before and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weight survival against humanity and life against love.;Young Adult, Fiction, Dystopia, Fantasy, Science Fiction, Romance, Adventure, Teen, Post Apocalyptic, Action;374;Scholastic Press;09/14/08;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722975l/2767052.jpg;"
"Harry Potter and the Order of the Phoenix;Harry Potter;J.K. Rowling;Dark times have come to Hogwarts. After the Dementors’ attack on his cousin Dudley, Harry Potter knows that Voldemort will stop at nothing to find him. There are many who deny the Dark Lord’s return, but Harry is not alone: a secret order gathers at Grimmauld Place to fight against the Dark forces. Harry must allow Professor Snape to teach him how to protect himself from Voldemort’s savage assaults on his mind. But they are growing stronger by the day and Harry is running out of time. These new editions of the classic and internationally bestselling, multi-award-winning series feature instantly pick-up-able new jackets by Jonny Duddle, with huge child appeal, to bring Harry Potter to the next generation of readers. It’s time to PASS THE MAGIC ON …;Fantasy, Young Adult, Fiction, Magic, Childrens, Adventure, Audioboo, Middle Grade, Classics, Science Fiction Fantasy;870;Scholastic Inc.;09/28/04;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546910265l/2.jpg;"
"To Kill a Mockingbird;To Kill a Mockingbird;Harper Lee;The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.;Classics, Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Novels, Read For School, High School;324;Harper Perennial Modern Classics;05/23/06;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1553383690l/2657.jpg;"
"Pride and Prejudice; ;Jane Austen;Alternate cover edition of ISBN 9780679783268Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austens radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England.;Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Novels, Historical Romance, Classic Literature, Adult;279;Modern Library;10/10/00;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399351l/1885.jpg;"
"Twilight;The Twilight Saga;Stephenie Meyer;About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of him and I didnt know how dominant that part might be that thirsted for my blood. And third, I was unconditionally and irrevocably in love with him. Deeply seductive and extraordinarily suspenseful, Twilight is a love story with bite.;Young Adult, Fantasy, Romance, Vampires, Fiction, Paranormal, Paranormal Romance, Supernatural, Teen, Urban Fantasy;501;Little, Brown and Company;09/06/06;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361039443l/41865.jpg;"
"Haunted Warriors;The Rogues;Lian Tanner;The Harshman brought his fist down on the arm of the Faithful Throne, and roared to the sleeping people, I ... Am ... Margrave ... Now.Having escaped the salt mines, Duckling, Pummel, Sooli and Otte return to the Strong-hold to find out who is responsible for raising the murderous Harshman. But with Grafine von Eisen ruling as Regent, all that awaits them is the dungeon and the executioners axe.The children must hide in the Strong-holds stone walls, while Sooli walks the path of death, searching desperately for clues. And when the Harshman arrives, turning friends and allies against each other, time is running out. With no one on their side but a cat, a ghost, and a chicken who has forgotten her true identity, the children must use all their wits - and all their magic - to defeat the Harshman before he becomes unstoppable.;Fantasy, Adventure;232;Allen & Unwin;10/01/19;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1570614728l/50800804._SX318_SY475_.jpg;"
"Animal Farm; ;George Orwell;Librarians note: There is an Alternate Cover Edition for this edition of this book here.A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality. Thus the stage is set for one of the most telling satiric fables ever penned a razor-edged fairy tale for grown-ups that records the evolution from revolution against tyranny to a totalitarianism just as terrible. When Animal Farm was first published, Stalinist Russia was seen as its target. Today it is devastatingly clear that wherever and whenever freedom is attacked, under whatever banner, the cutting clarity and savage comedy of George Orwells masterpiece have a meaning and message still ferociously fresh.;Classics, Fiction, Dystopia, Fantasy, Literature, Politics, School, Science Fiction, Novels, Read For School;141;Signet Classics;04/28/96;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325861570l/170448.jpg;"
"The Chronicles of Narnia;The Chronicles of Narnia ;C.S. Lewis, Pauline Baynes;Journeys to the end of the world, fantastic creatures, and epic battles between good and evil- what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books-unabridged- in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published;Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Adventure, Science Fiction Fantasy, Middle Grade, Christian Fiction;767;HarperCollins;09/16/02;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1449868701l/11127._SY475_.jpg;"
"The Hobbit and The Lord of the Rings;The Lord of the Rings;J.R.R. Tolkien;This four-volume, boxed set contains J.R.R. Tolkiens epic masterworks The Hobbit and the three volumes of The Lord of the Rings .In The Hobbit, Bilbo Baggins is whisked away from his comfortable, unambitious life in Hobbiton by the wizard Gandalf and a company of dwarves. He finds himself caught up in a plot to raid the treasure hoard of Smaug the Magnificent, a large and very dangerous dragon.The Lord of the Rings tells of the great quest undertaken by Frodo Baggins.;Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy, Young Adult, Literature, Magic;1728;Ballantine Books;09/25/12;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346072396l/30.jpg;"
"Gone with the Wind; ;Margaret Mitchell;Scarlett OHara, the beautiful, spoiled daughter of a well-to-do Georgia plantation owner, must use every means at her disposal to claw her way out of the poverty she finds herself in after Shermans March to the Sea;Classics, Historical Fiction, Fiction, Romance, Historical, War, Literature, Civil War, Historical Romance, Novels;1037;Warner Books;04/01/99;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577l/18405._SY475_.jpg;"
"The Fault in Our Stars; ;John Green;Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazels story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Greens most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love;Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age, Drama, Novels, Love;313;Dutton Books;01/10/12;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360206420l/11870085.jpg;"
"The Hitchhikers Guide to the Galaxy;The Hitchhikers Guide to the Galaxy;Douglas Adams;Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhikers Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhikers Guide  and a galaxy-full of fellow travelers: Zaphod Beeblebrox- the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy, Trillian, Zaphods girlfriend , whom Arthur tried to pick up at a cocktail party once upon a time zone.;Science Fiction, Fiction, Humor, Fantasy, Classics, Comedy, Science Fiction Fantasy, Audiobook, Adventure, Novels;193;Del Rey;06/23/07;https://kbimages1-a.akamaihd.net/aa60f6f0-1a2e-4527-aed3-1c35ea607532/1200/1200/False/the-ultimate-hitchhiker-s-guide-to-the-galaxy-1.jpg;"
"The Giving Tree; ;Shel Silverstein;Once there was a tree...and she loved a little boy.So begins a story of unforgettable perception, beautifully written and illustrated by the gifted and versatile Shel Silverstein.Every day the boy would come to the tree to eat her apples, swing from her branches, or slide down her trunk...and the tree was happy. But as the boy grew older he began to want more from the tree, and the tree gave and gave and gave.This is a tender story, touched with sadness, aglow with consolation. Shel Silverstein has created a moving parable for readers of all ages that offers an affecting interpretation of the gift of giving and a serene acceptance of anothers capacity to love in return.;Childrens, Picture Books, Classics, Fiction, Poetry, Young Adult, Fantasy, Juvenile, Kids, Short Stories;64;HarperCollins Publishers;10/07/64;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942l/370493._SX318_.jpg;"
"Wuthering Heights; ;Emily Bronte;You can find the redesigned cover of this edition here.This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.New to the fourth Edition are twelve of Emily Brontes letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chithams insightful and informative chronology of the creative process behind the beloved work.Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heightss problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novels romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights. A Chronology and updated Selected Bibliography are also included.;Classics, Fiction, Romance, Gothic, Literature, Historical Fiction, 19th Century, Novels, Classic Literature, Historical;464;Norton;10/28/02;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304l/6185._SY475_.jpg;"
"The Da Vinci Code;Robert Langdon;Dan Brown;While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci- clues visible for all to see and yet ingeniously disguised by the painter.Even more startling, the late curator was involved in the Priory of Sion- secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci- and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle- while avoiding the faceless adversary who shadows their every movee the explosive, ancient truth will be lost forever.;Fiction, Mystery, Thriller, Suspense, Mystery Thriller, Historical Fiction, Adventure, Novels, Crime, Adult;489;Anchor;03/28/06;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267l/968.jpg;"
"Memoirs of a Geisha; ;Arthur Golden;A literary sensation and runaway bestseller, this brilliant debut novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japans most celebrated geisha.In Memoirs of a Geisha, we enter a world where appearances are paramount, where a girls virginity is auctioned to the highest bidder, where women are trained to beguile the most powerful men, and where love is scorned as illusion. It is a unique and triumphant work of fiction at once romantic, erotic, suspenseful and completely unforgettable.;Fiction, Historical Fiction, Romance, Historical, Classics, Japan, Adult, Novels, Asia, Adult Fiction;503;Vintage Books USA;11/22/05;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968l/929.jpg;"
"The Picture of Dorian Gray; ;Oscar Wilde;Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it first appeared in 1890, but though Wilde was attacked for the novel’s corrupting influence, he responded that there is, in fact, a terrible moral in Dorian Gray. Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be in other ages, perhaps.;Classics, Fiction, Horror, Fantasy, Literature, Gothic, Novels, 19th Century, LGBT, Classic Literature;272;Random House: Modern Library;06/01/04;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428l/5297.jpg;"
"Alices Adventures in Wonderland & Through the Looking-Glass;Alices Adventures in Wonderland;Lewis Carroll;I cant explain myself, Im afraid, sir, said Alice,Because Im not myself, you see.When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alices Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelousos memorable full-colour illustrations.;Classics, Fantasy, Fiction, Childrens, Young Adult, Literature, Adventure, Novels, 19th Century, British Literature;239;Penguin Group (USA);12/01/00;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220l/24213.jpg;"
"Jane Eyre; ;Charlotte Bronte;Orphaned as a child, Jane has felt an outcast her whole young life. Her courage is tested once again when she arrives at Thornfield Hall, where she has been hired by the brooding, proud Edward Rochester to care for his ward Adele. Jane finds herself drawn to his troubled yet kind spirit. She falls in love. Hard. But there is a terrifying secret inside the gloomy, forbidding Thornfield Hall. Is Rochester hiding from Jane? Will Jane be left heartbroken and exiled once again?;Classics, Fiction, Romance, Historical Fiction, Literature, Gothic, Historical, 19th Century, School, Classic Literature;532;Penguin;02/04/03;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311l/10210._SY475_.jpg;"
"Les Miserables; ;Victor Hugo;Introducing one of the most famous characters in literature, Jean Valjean- the noble peasant imprisoned for stealing a loaf of bread-Les Miserables ranks among the greatest novels of all time. In it, Victor Hugo takes readers deep into the Parisian underworld, immerses them in a battle between good and evil, and carries them to the barricades during the uprising of 1832 with a breathtaking realism that is unsurpassed in modern prose. Within his dramatic story are themes that capture the intellect and the emotions: crime and punishment, the relentless persecution of Valjean by Inspector Javert, the desperation of the prostitute Fantine, the amorality of the rogue Thenardier, and the universal desire to escape the prisons of our own minds. Les Miserables gave Victor Hugo a canvas upon which he portrayed his criticism of the French political and judicial systems, but the portrait that resulted is larger than life, epic in scope- an extravagant spectacle that dazzles the senses even as it touches the heart.;Classics, Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature, Romance, Classic Literature;1463;Signet Classics;03/03/87;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091l/24280.jpg;"
"Fahrenheit 451; ;Ray Bradbury;Guy Montag is a fireman. In his world, where television rules and literature is on the brink of extinction, firemen start fires rather than put them out. His job is to destroy the most illegal of commodities, the printed book, along with the houses in which they are hidden.Montag never questions the destruction and ruin his actions produce, returning each day to his bland life and wife, Mildred, who spends all day with her television family. But then he meets an eccentric young neighbor, Clarisse, who introduces him to a past where people did not live in fear and to a present where one sees the world through the ideas in books instead of the mindless chatter of television.When Mildred attempts suicide and Clarisse suddenly disappears, Montag begins to question everything he has ever known.;Classics, Fiction, Science Fiction, Dystopia, School, Literature, Novels, Fantasy, Adult, Science Fiction Fantasy;194;Simon & Schuster;11/29/11;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290l/13079982.jpg;"
"Ring for Jeeves;Jeeves;P.G. Wodehouse;Ring for Jeeves features one of Wodehouses best-known characters, Jeeves. It is the only Jeeves novel in which his employer, Bertie Wooster, does not appear (though he is mentioned). Wodehouse adapted the story from a play, Come On, Jeeves, that he had written with his lifelong friend and collaborator Guy Bolton.The story opens with Jeevess employer, Bertie Wooster, having enrolled in a school that teaches the idle rich how to fend for themselves. In his absence he has allowed Jeeves to offer his services to William """"Bill"""" Rowcester, the impoverished 9th Earl of Rowcester, whose stately home, Rowcester Abbey, is an encumbrance for which the Earl is seeking a buyer. Jeeves becomes embroiled in a complicated affair involving fake bookies, stolen gems, a wealthy American widow and a big game hunter, but, as in all Jeeves novels, the imperturbable valet succeeds in resolving matters to the satisfaction of all parties.;Fiction, Humor, Classics, Comedy, British Literature, Audiobook, Historical Fiction, 20th Century, Novels, Literature;208;Harry N. Abrams;04/12/04;https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1515346420l/18029.jpg;"
